                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.67721,                0.73141,                 1.1004,                0.91751,                0.87899,                0.96098,                0.78031,                0.89029,                0.54569,                 1.3057,              0.0091486,              0.0091486,              0.0091486
                     88,                 0.6751,                0.74731,                 1.1028,                0.93542,                0.87023,                0.94946,                0.74387,                0.94239,                0.58663,                 1.3496,              0.0091387,              0.0091387,              0.0091387
                     89,                0.66023,                0.72285,                 1.0909,                0.92085,                0.87584,                0.94619,                 0.7584,                0.88335,                0.57055,                 1.2564,              0.0091288,              0.0091288,              0.0091288
                     90,                0.66771,                0.72485,                  1.094,                0.94281,                 0.8817,                0.96763,                0.79214,                  0.847,                 0.4938,                 1.2415,              0.0091189,              0.0091189,              0.0091189
                     91,                 0.6787,                0.73239,                 1.0975,                0.92661,                0.87758,                0.96352,                 0.7661,                0.88824,                0.54665,                 1.3104,               0.009109,               0.009109,               0.009109
                     92,                0.66496,                0.71701,                 1.1009,                0.89066,                0.91654,                0.96073,                0.77856,                0.84635,                0.52019,                 1.2509,              0.0090991,              0.0090991,              0.0090991
                     93,                0.66928,                0.73428,                 1.1044,                0.86361,                0.88024,                0.94728,                0.74531,                0.92555,                0.62857,                 1.3214,              0.0090892,              0.0090892,              0.0090892
                     94,                0.65766,                0.70198,                 1.0985,                0.90553,                0.84247,                 0.9395,                0.75608,                0.89688,                0.58276,                 1.3048,              0.0090793,              0.0090793,              0.0090793
                     95,                0.65759,                0.70997,                 1.0971,                0.92699,                0.87609,                0.94412,                0.77308,                0.86844,                0.58747,                 1.2868,              0.0090694,              0.0090694,              0.0090694
                     96,                0.67355,                0.72409,                 1.1122,                 0.8733,                0.88602,                0.95276,                0.75635,                0.93369,                0.57775,                 1.3247,              0.0090595,              0.0090595,              0.0090595
                     97,                0.66488,                0.72713,                 1.1016,                0.89821,                0.85865,                0.94219,                0.74841,                0.90521,                0.63263,                 1.2975,              0.0090496,              0.0090496,              0.0090496
                     98,                0.64738,                0.70736,                 1.0953,                0.86696,                0.90728,                0.94771,                 0.7592,                  0.912,                0.57552,                 1.3205,              0.0090397,              0.0090397,              0.0090397
                     99,                0.67018,                 0.6964,                 1.1046,                0.94145,                 0.8679,                0.95873,                0.75897,                 0.9363,                0.55429,                 1.3379,              0.0090298,              0.0090298,              0.0090298
                    100,                0.65823,                0.70805,                 1.1011,                0.91023,                0.90145,                0.95587,                0.78053,                0.85207,                0.52585,                  1.255,              0.0090199,              0.0090199,              0.0090199
                    101,                0.65222,                0.69448,                 1.0913,                0.92783,                0.87719,                0.95098,                0.76817,                0.88376,                0.52788,                 1.2804,                0.00901,                0.00901,                0.00901
                    102,                0.65846,                0.71537,                 1.1011,                0.95295,                0.89322,                0.96412,                0.77752,                0.89853,                0.48893,                 1.3071,              0.0090001,              0.0090001,              0.0090001
                    103,                0.65637,                0.69617,                 1.0938,                0.92625,                0.91787,                0.96341,                0.76412,                0.92315,                 0.5003,                 1.3032,              0.0089902,              0.0089902,              0.0089902
                    104,                0.63917,                0.67355,                 1.0854,                0.92531,                0.86458,                0.95595,                0.77957,                 0.8734,                 0.5487,                 1.2857,              0.0089803,              0.0089803,              0.0089803
                    105,                 0.6459,                0.68021,                 1.0901,                0.90846,                0.87126,                0.95126,                0.75833,                0.92442,                0.57501,                 1.3367,              0.0089704,              0.0089704,              0.0089704
                    106,                0.66481,                0.70276,                 1.0979,                0.91123,                0.88549,                0.95971,                0.77769,                0.85769,                0.54577,                  1.292,              0.0089605,              0.0089605,              0.0089605
                    107,                0.64422,                0.68894,                 1.0869,                0.92043,                 0.8472,                0.93923,                0.75495,                0.88879,                0.60945,                 1.2974,              0.0089506,              0.0089506,              0.0089506
                    108,                 0.6575,                0.69075,                  1.094,                0.90987,                0.86474,                0.94181,                 0.7555,                0.94437,                0.57091,                 1.3543,              0.0089407,              0.0089407,              0.0089407
                    109,                0.64532,                0.68668,                 1.0962,                0.92897,                 0.8901,                0.95785,                0.76759,                 0.8881,                0.51052,                 1.3005,              0.0089308,              0.0089308,              0.0089308
                    110,                 0.6424,                0.67063,                 1.0888,                0.92842,                0.89664,                0.96159,                0.77088,                0.90427,                0.53301,                 1.3298,              0.0089209,              0.0089209,              0.0089209
                    111,                0.64786,                0.67375,                 1.0919,                0.92509,                 0.8947,                0.95608,                0.76976,                0.89944,                0.52769,                 1.3037,               0.008911,               0.008911,               0.008911
                    112,                0.63494,                0.66627,                 1.0791,                0.90748,                0.90562,                0.93759,                0.74609,                0.89981,                0.56406,                 1.3302,              0.0089011,              0.0089011,              0.0089011
                    113,                0.65741,                0.66943,                 1.0907,                0.94654,                0.91821,                0.97264,                0.78294,                0.87899,                0.47838,                 1.2846,              0.0088912,              0.0088912,              0.0088912
                    114,                0.64398,                0.67911,                 1.0874,                0.89935,                0.89082,                0.95509,                0.77746,                0.85465,                0.55054,                 1.2746,              0.0088813,              0.0088813,              0.0088813
                    115,                0.64271,                0.66353,                 1.0879,                0.89325,                 0.9051,                 0.9281,                 0.7444,                0.90217,                0.55475,                 1.2808,              0.0088714,              0.0088714,              0.0088714
                    116,                0.64924,                0.67439,                 1.0854,                0.92844,                 0.8779,                0.95424,                 0.7672,                0.88648,                0.52066,                 1.2866,              0.0088615,              0.0088615,              0.0088615
                    117,                0.64527,                0.66956,                 1.0947,                0.90837,                0.88247,                0.94689,                0.75378,                 0.9256,                0.54005,                 1.3171,              0.0088516,              0.0088516,              0.0088516
                    118,                 0.6392,                0.66592,                 1.0899,                0.93042,                0.86872,                0.95175,                0.77051,                0.84066,                0.55057,                 1.2468,              0.0088417,              0.0088417,              0.0088417
                    119,                0.63035,                0.64633,                 1.0798,                0.91423,                0.88488,                0.94997,                0.77054,                0.87166,                0.52244,                 1.2905,              0.0088318,              0.0088318,              0.0088318
                    120,                0.62937,                0.64505,                 1.0767,                0.92681,                0.89935,                 0.9505,                0.74884,                 0.9402,                0.55034,                  1.347,              0.0088219,              0.0088219,              0.0088219
                    121,                 0.6325,                0.65145,                  1.085,                0.92156,                0.84437,                0.93426,                 0.7519,                0.86685,                0.55738,                 1.2882,               0.008812,               0.008812,               0.008812
                    122,                0.62264,                0.64077,                 1.0768,                0.88389,                0.88276,                0.92901,                0.73942,                 0.9233,                0.60307,                 1.3273,              0.0088021,              0.0088021,              0.0088021
                    123,                0.64204,                0.65583,                 1.0889,                0.93397,                0.86587,                0.95093,                0.74894,                0.92297,                 0.5288,                 1.3154,              0.0087922,              0.0087922,              0.0087922
                    124,                0.63513,                0.64866,                 1.0782,                0.89224,                 0.8729,                0.94514,                0.77777,                0.86276,                0.57914,                 1.2731,              0.0087823,              0.0087823,              0.0087823
                    125,                0.63811,                0.63209,                 1.0772,                0.93064,                0.90343,                0.95392,                0.75607,                0.91028,                0.52488,                 1.3231,              0.0087724,              0.0087724,              0.0087724
                    126,                0.63469,                0.63051,                  1.088,                0.92295,                0.86154,                0.95075,                0.75414,                0.88903,                0.54202,                 1.2865,              0.0087625,              0.0087625,              0.0087625
                    127,                0.63737,                0.63827,                 1.0889,                0.91792,                0.90296,                0.96286,                0.76864,                0.85564,                0.48265,                 1.2691,              0.0087526,              0.0087526,              0.0087526
                    128,                0.62742,                0.62869,                 1.0734,                0.84372,                 0.9013,                0.94371,                0.74211,                0.91628,                0.56728,                 1.3269,              0.0087427,              0.0087427,              0.0087427
                    129,                 0.6306,                0.64764,                 1.0825,                0.92264,                0.88788,                0.95595,                0.76319,                 0.8657,                0.51592,                 1.2671,              0.0087328,              0.0087328,              0.0087328
                    130,                0.61983,                0.61392,                 1.0687,                0.93643,                0.85947,                0.94846,                 0.7715,                0.85946,                0.54487,                 1.2597,              0.0087229,              0.0087229,              0.0087229
                    131,                 0.6268,                0.64232,                 1.0715,                0.91352,                0.87762,                0.96049,                0.78247,                0.85094,                0.55929,                 1.2767,               0.008713,               0.008713,               0.008713
                    132,                0.62875,                0.61886,                 1.0706,                0.90949,                0.87139,                0.95398,                0.76326,                0.89339,                0.57531,                 1.2969,              0.0087031,              0.0087031,              0.0087031
                    133,                0.61372,                0.60406,                   1.07,                0.92342,                0.84436,                0.94272,                0.74798,                0.90794,                0.56985,                 1.3359,              0.0086932,              0.0086932,              0.0086932
                    134,                0.62086,                0.62849,                 1.0727,                 0.9482,                0.90408,                0.97709,                0.78526,                0.87607,                0.47644,                 1.2948,              0.0086833,              0.0086833,              0.0086833
                    135,                0.62777,                0.64093,                 1.0876,                0.92502,                0.90391,                0.95508,                0.78437,                0.79893,                0.53749,                 1.2263,              0.0086734,              0.0086734,              0.0086734
